ramadan_timer;Recently observed Ramadan;A récemment fait le Ramadan;Vor kurzem beachtet Ramadan.;;;;;;;;;x;;
dissent_sowed;Relations Sabotaged;Relations sabotées;Beziehungen sabotiert;;;;;;;;;x;;
give_to_charity;Give to Charity;Donner par charité;Geben Sie  Wohltätigkeit;;;;;;;;;;;x
give_to_charity_desc;Give a voluntary donation to [Root.Religion.GetName] charities.;Faites un don volontaire aux oeuvres de charité de [Root.Religion.GetName].;Give a voluntary donation to [Root.Religion.GetName] charities.;;;;;;;;;;;x
nick_the_maker;the Maker;le Faiseur;Der Macher;;;;;;;;x;;;
kidnapped_me;Kidnapped Me;M'a kidnappé;Entführte Mich;;;;;;;;;x;;
attempted_kidnapping;Attempted Kidnapping;A essayé de kidnapper;Entführung versucht;;;;;;;;;x;;
attempted_kidnapping_of_kin;Attempted Kidnapping of Kin;A essayé de kidnapper un proche;Versuchte Entführung eines Verwandten;;;;;;;;;x;;
attempted_kidnapping_of_vassal;Attempted Kidnapping of Vassal;A essayé de kidnapper un vassal;Versuchte Entführung eines Vasallen;;;;;;;;;x;;
executed_kin;Executed Relative;Parent exécuté;Hingerichteter Verwandter;;;;;;;;;x;;
plot_discredit_councillor_title;Discredit [This.GetTitledFirstName];Discréditer [This.GetTitledFirstName];[This.GetTitledFirstName] diskreditieren;;;;;;;;;;;x
plot_discredit_councillor_desc;[From.GetTitledFirstName] wants [From.Liege.GetTitledFirstName] to realize that [This.GetTitledFirstName] does not deserve [This.GetHerHis] position on the council.;[From.GetTitledFirstName] veut que [From.Liege.GetTitledFirstName] réalise que [This.GetTitledFirstName] ne mérite pas sa position au conseil.;[From.GetTitledFirstName] wants [From.Liege.GetTitledFirstName] to realize that [This.GetTitledFirstName] does not deserve [This.GetHerHis] position on the council.;;;;;;;;;;;x
plot_embezzle_from_liege_title;Embezzle From [This.GetTitledFirstName];Abus de pouvoir de [This.GetTitledFirstName];Embezzle From [This.GetTitledFirstName];;;;;;;;;;;x
plot_embezzle_from_liege_desc;[From.GetTitledFirstName] wants to help [From.GetHerHim]self to an adequate reward for [From.GetHerHis] service to [This.GetTitledFirstName].;[From.GetTitledFirstName] veut une récompense appropriée pour ses services à [This.GetTitledFirstName].;[From.GetTitledFirstName] wants to help [From.GetHerHim]self to an adequate reward for [From.GetHerHis] service to [This.GetTitledFirstName].;;;;;;;;;;;x
plot_kidnap_character_title;Kidnap [This.GetTitledFirstName];Kidnapper [This.GetTitledFirstName];[This.GetTitledFirstName] entführen;;;;;;;;;;;x
plot_kidnap_character_desc;[From.GetTitledFirstName] wants to see [This.GetTitledFirstName] brought in chains before [From.GetHerHim].;[From.GetTitledFirstName] veut voir [This.GetTitledFirstName] enchaîné devant [From.GetHerHim].;[From.GetTitledFirstName] wants to see [This.GetTitledFirstName] brought in chains before [From.GetHerHim].;;;;;;;;;;;x
plot_instigate_revolt_title;Incite [This.GetTitledFirstName] to Revolt;Inciter [This.GetTitledFirstName] à se révolter;[This.GetTitledFirstName] zur Revolte anstacheln;;;;;;;;;;;x
plot_instigate_revolt_desc;[From.GetTitledFirstName] wants to see [This.GetTitledFirstName] at war with [This.Liege.GetTitledFirstName].;[From.GetTitledFirstName] veut voir [This.GetTitledFirstName] en guerre avec [This.Liege.GetTitledFirstName].;[From.GetTitledFirstName] wants to see [This.GetTitledFirstName] at war with [This.Liege.GetTitledFirstName].;;;;;;;;;;;x
plot_fabricate_treason_title;Fabricate Evidence of [This.GetTitledFirstName]'s Treason;Fabriquer des preuves de la trahison de [This.GetTitledFirstName];Fabricate Evidence of [This.GetTitledFirstName]'s Treason;;;;;;;;;;;x
plot_fabricate_treason_desc;[From.GetTitledFirstName] wants to convince the realm that [This.GetTitledFirstName] is a traitor.;[From.GetTitledFirstName] veut convaincre le royaume que [This.GetTitledFirstName] est un traitre.;[From.GetTitledFirstName] wants to convince the realm that [This.GetTitledFirstName] is a traitor.;;;;;;;;;;;x
plot_fabricate_treason_liege_title;Fabricate Evidence of [This.GetTitledFirstName]'s Treason;Fabriquer des preuves de la trahison de [This.GetTitledFirstName];Fabricate Evidence of [This.GetTitledFirstName]'s Treason;;;;;;;;;;;x
plot_fabricate_treason_liege_desc;[From.GetTitledFirstName] wants to convince the realm that [This.GetTitledFirstName] is a traitor.;[From.GetTitledFirstName] veut convaincre le royaume que [This.GetTitledFirstName] est un traitre.;[From.GetTitledFirstName] wants to convince the realm that [This.GetTitledFirstName] is a traitor.;;;;;;;;;;;x
plot_fabricate_heresy_title;Accuse [This.GetTitledFirstName] of Heresy;Accuser [This.GetTitledFirstName] d'hérésie;[This.GetTitledFirstName] der Häresie beschuldigen;;;;;;;;;;;x
plot_fabricate_heresy_desc;[From.GetTitledFirstName] wants to convince [This.RelHead.GetTitledFirstName] that [This.GetTitledFirstName] is a heretic.;[From.GetTitledFirstName] veut convaincre [This.RelHead.GetTitledFirstName] que [This.GetTitledFirstName] est un hérétique.;[From.GetTitledFirstName] wants to convince [This.RelHead.GetTitledFirstName] that [This.GetTitledFirstName] is a heretic.;;;;;;;;;;;x
desc_estates_1;Provides a character with a yearly income of §G1.00§! wealth.;Fournit à un personnage un revenu annuel de §G1.00§!.;Unterstützung aus Anwesen mit jährlichem Einkommen von §G1.00§!.;;;;;;;;;;;x
desc_estates_2;Provides a character with a yearly income of §G2.00§! wealth.;Fournit à un personnage un revenu annuel de §G2.00§!.;Unterstützung aus Anwesen mit jährlichem Einkommen von §G2.00§!.;;;;;;;;;;;x
desc_estates_3;Provides a character with a yearly income of §G3.00§! wealth.;Fournit à un personnage un revenu annuel de §G3.00§!.;Unterstützung aus Anwesen mit jährlichem Einkommen von §G3.00§!.;;;;;;;;;;;x
desc_estates_4;Provides a character with a yearly income of §G4.00§! wealth.;Fournit à un personnage un revenu annuel de §G4.00§!.;Unterstützung aus Anwesen mit jährlichem Einkommen von §G4.00§!.;;;;;;;;;;;x
desc_estates_5;Provides a character with a yearly income of §G5.00§! wealth.;Fournit à un personnage un revenu annuel de §G5.00§!.;Unterstützung aus Anwesen mit jährlichem Einkommen von §G5.00§!.;;;;;;;;;;;x
plot_kidnap_liege_title;Abduct [This.GetTitledFirstName];Kidnapper [This.GetTitledFirstName];Abduct [This.GetTitledFirstName];;;;;;;;;x;;
mad_heretic;Converted to Heresy;Converti à l'hérésie;Zur Häresie konvertiert;;;;;;;;;;;x
convert_to_capital_religion;Convert to [Root.Capital.Religion.GetName];Se convertir à [Root.Capital.Religion.GetName];Zum [Root.Capital.Religion.GetName]en Glauben Konvertieren;;;;;;;;;;;x
convert_to_capital_religion_desc;I am sure the people of [Root.Capital.GetName] would be pleased if we had the same faith...;Je suis sûr que le peuple de [Root.Capital.GetName] serait heureux si nous partagions la même foi...;Ich bin sicher, die Menschen von [Root.Capital.GetName] wären erfreut, wenn wir den selben Glauben teilten...;;;;;;;;;;;x
convert_to_capital_culture;Embrace [Root.Capital.Culture.GetName] Culture;Embrasser la culture de [Root.Capital.Culture.GetName];[Root.Capital.Culture.GetName]e Kultur annehmen;;;;;;;;;;;x
convert_to_capital_culture_desc;I am impressed with the language and customs of [Root.Capital.GetName]. I wish I were like that...;Je suis impressioné par la langue et les coutumes de [Root.Capital.GetName]. J'aimerais être comme eux...;Ich bin zutiefst beeindruckt von der Sprache und den Traditionen von [Root.Capital.GetName]. Ich wünschte, ich wäre wie sie...;;;;;;;;;;;x
title_lord_female;Lady;Madame;Herrin;;;;;;;;;;;x
go_on_hajj_1;Go on Hajj to Mecca;Partir en pèlerinage à La Mecque;Geht auf Hadsch nach Mekka ;;Ir al Hajj a La Meca;;;;;;;;;x;
go_on_hajj_1_desc;Going on a pilgrimage to Mecca is one of the pillars of Islam, and this is something every able-bodied Muslim is expected to do once in his life.;Réaliser un pèlerinage à La Mecque fait partie des cinq piliers de l'Islam. C'est une chose que tout musulman valide se doit de faire au moins une fois dans sa vie.;Auf Wallfahrt nach Mekka zu gehen, ist eine der Säulen des Islam und es ist etwas,was von jedem nicht beeinträchtigten Moslem einmal in seinem Leben erwartet wird. ;;Ir de peregrinación hacia La Meca es uno de los pilares del islam,  y es algo que todo musulmán que esté en condiciones físicas de hacerlo debe hacer una vez en su vida.;;;;;;;;;x;
go_on_hajj_2;Go on Hajj to Mecca;Partir en pèlerinage à La Mecque;Geht auf Hadsch nach Mekka ;;Ir al Hajj a La Meca;;;;;;;;;x;
go_on_hajj_2_desc;Going on a pilgrimage to Mecca is one of the pillars of Islam, and this is something every able-bodied Muslim is expected to do once in his life.;Réaliser un pèlerinage à La Mecque fait partie des cinq piliers de l'Islam. C'est une chose que tout musulman valide se doit de faire au moins une fois dans sa vie.;Auf Wallfahrt nach Mekka zu gehen, ist eine der Säulen des Islam und es ist etwas,was von jedem nicht beeinträchtigten Moslem einmal in seinem Leben erwartet wird. ;;Ir de peregrinación hacia La Meca es uno de los pilares del islam,  y es algo que todo musulmán que esté en condiciones físicas de hacerlo debe hacer una vez en su vida.;;;;;;;;;x;
title_lord;Lord;Seigneur;Herr;;;;;;;;;;;x;
title_lord_female_muslim;Iqta;Iqta;Iqta;;;;;;;;;;;x;
opinion_denied_estates;Denied Estates;Domaines refusés;Verweigerte Anwesen;;;;;;;;;;;x;
opinion_honorary_title;Honored Me;M'a honoré;Geehrt Mich;;;;;;;;;;;x;
opinion_estates_obj;Fulfilled Wish for Estates;Souhaite des domaines;Erfüllte Wunsch für Anwesen;;;;;;;;;;;x;
grant_estate;Grant Estates;Octroyer des domaines;Anwesen Gewähren;;;;;;;;;;;x;
grant_estate_desc;Grant landed estates to this character. This will give them a monthly revenue and make them more loyal to you.;Octroyer des domaines terriens aux personnages. Cela leur garantit des revenus mensuels et les rend plus loyaux envers vous.;Gewähre Anwesen an dieser Person. Dies wird ihnen monatliche Einkünfte geben sowohol als auch ihnen euch treuer machen;;;;;;;;;;;x;
opinion_granted_minor_estate;Granted Estates;Domaines minimes accordés;Anwesen Gewährt;;;;;;;;;;;x;
legitimized_me;Legitimized Me;M'a légitimé;Legitimiert Mich;;;;;;;;;;;x;
estates_1;Minor Estates;Modestes domaines;Geringfügige Anwese;;;;;;;;;;;x;
estates_2;Small Estates;Petits domaines;Kleine Anwesen;;;;;;;;;;;x;
estates_3;Moderate Estates;Domaines raisonnables;Mäßige Anwesen;;;;;;;;;;;x;
estates_4;Large Estates;Grands domaines;Große Anwesen;;;;;;;;;;;x;
estates_5;Major Estates;Très grands domaines;Sehr Große Anwesen;;;;;;;;;;;x;
obj_gain_estates_1_title;Gain Estates;Gagner des domaines;Erhalte Anwesen;;;;;;;;;;;x;
obj_gain_estates_1_desc;[This.GetTitledFirstName] wants a landed estate to provide for [This.GetHerHim]self and [This.GetHerHis] family.;[This.GetTitledFirstName] veut un domaine terrien pour subvenir  à ses besoins et à ceux de sa famille.;[This.GetTitledFirstName] möchte einen Anwesen für [This.GetHerHim] selbst und [This.GetHerHis] Familie.;;;;;;;;;;;x;
obj_gain_estates_2_title;Increase Size of Estates;Agrandir la taille des domaines;Anwesen Vergrössern;;;;;;;;;;;x;
obj_gain_estates_2_desc;[This.GetTitledFirstName] is not happy with the size of [This.GetHerHis] estates.;[This.GetTitledFirstName] n'est pas content de la taille de ses domaines;[This.GetTitledFirstName] ist nicht zufrieden mit der Größe [This.GetHerHis] Anwesen.;;;;;;;;;;;x;
obj_gain_estates_3_title;Increase Size of Estates;Agrandir la taille des domaines;Anwesen Vergrössern;;;;;;;;;;;x;
obj_gain_estates_3_desc;[This.GetTitledFirstName] is not happy with the size of [This.GetHerHis] estates.;[This.GetTitledFirstName] n'est pas content de la taille de ses domaines;[This.GetTitledFirstName] ist nicht zufrieden mit der Größe [This.GetHerHis] Anwesen.;;;;;;;;;;;x;
obj_gain_estates_4_title;Increase Size of Estates;Agrandir la taille des domaines;Anwesen Vergrössern;;;;;;;;;;;x;
obj_gain_estates_4_desc;[This.GetTitledFirstName] is not happy with the size of [This.GetHerHis] estates.;[This.GetTitledFirstName] n'est pas content de la taille de ses domaines;[This.GetTitledFirstName] ist nicht zufrieden mit der Größe [This.GetHerHis] Anwesen.;;;;;;;;;;;x;
obj_gain_estates_5_title;Increase Size of Estates;Agrandir la taille des domaines;Anwesen Vergrössern;;;;;;;;;;;x;
obj_gain_estates_5_desc;[This.GetTitledFirstName] is not happy with the size of [This.GetHerHis] estates.;[This.GetTitledFirstName] n'est pas content de la taille de ses domaines;[This.GetTitledFirstName] ist nicht zufrieden mit der Größe [This.GetHerHis] Anwesen.;;;;;;;;;;;x;
attempted_murder_of_close_kin;Attempted Murder of Close Kin;Tentative de meurtre de parents proches;Sippenmörder;;;;;;;;;;;x;
killed_vassal;Murdered Vassal;Vassal assassiné;Ermordeter Vasall;;;;;;;;;;;x;
opinion_converted;Convert;S'est converti;Bekehrt;;;;;;;;;;;x;
opinion_former_lover;Former Lover;Ancien Amant;Ehemaliger Geliebter;;;;;;;;;;;x;
holding_epic_tournament;Hosting an Epic Tournament;Organiser un tournoi épique;Veranstalte einen epischen Turnier;;;;;;;;;;;x;
nick_the_quiverfull;Quiverfull;le Trembleur;Köchervoll;;;;;;;;;x;;;
plot_kidnap_liege_desc;[From.GetTitledFirstName] has decided that kidnapping is the only way to make [This.GetTitledFirstName] give up some of [This.GetHerHis] land.;[From.GetTitledFirstName] a décidé que l'enlèvement constitue le seul moyen pour que [This.GetTitledFirstName] abandonne ses terres.;[From.GetTitledFirstName] hat sich entschieden, dass Entführung der einzige Weg ist, [This.GetTitledFirstName] zu überzeugen, ein bisschen Land herzugeben.;;;;;;;;;x;;;
nick_the_black;the Black;le Noir;der Schwarze;;;;;;;;;x;;;
obj_befriend_top_liege_title;Befriend [This.TopLiege.GetTitledFirstName];Etre ami avec [This.TopLiege.GetTitledFirstName];Freundschaft mit [This.TopLiege.GetTitledFirstName];;;;;;;;;x;;;
obj_befriend_top_liege_desc;[This.GetTitledFirstName] wants to show [This.GetHerHis] loyalty and devotion to [This.TopLiege.GetTitledFirstName].;[This.GetTitledFirstName] veut montrer sa loyauté et sa dévotion envers [This.TopLiege.GetTitledFirstName].;;;;;;;;;;x;;;
obj_befriend_liege_title;Befriend [This.Liege.GetTitledFirstName];Etre ami avec [This.Liege.GetTitledFirstName];Freundschaft mit [This.Liege.GetTitledFirstName];;;;;;;;;x;;;
obj_befriend_liege_desc;[This.GetTitledFirstName] wants to show [This.GetHerHis] loyalty and devotion to [This.Liege.GetTitledFirstName].;[This.GetTitledFirstName] veut montrer sa loyauté et sa dévotion envers [This.TopLiege.GetTitledFirstName].;;;;;;;;;;x;;;
obj_befriend_relhead_title;Befriend [This.RelHead.GetTitledFirstName];Etre ami avec [This.RelHead.GetTitledFirstName];Freundschaft mit [This.RelHead.GetTitledFirstName];;;;;;;;;x;;;
